Codebook for variables in Race IAT.public.2002-2017.sav,,,,,,,,,,,,,,,,,,,,
1). Use the Filter on the Source cell to select the set of variables that you are interested in. ,,,,,,,,,,,,,,,,,,,,
"      Source code: exp = explicit questions, sssn = session variables, iat = IAT variables, dbrf = debriefing variables, dem = demographics.",,,,,,,,,,,,,,,,,,,,
"      Color coding: blue = from iat.txt; green = not in the raw data, computed in the syntax; orange = from explicit.txt; purple = from sessions.txt",,,,,,,,,,,,,,,,,,,,
"2). Subjects may not have all the variables due to change of the experiment, skipping questions, or IAT incompletion.",,,,,,,,,,,,,,,,,,,,
3). Only subjects who completed the IAT blocks from the beginning to the end (200 trials) has IAT related variables. ,,,,,,,,,,,,,,,,,,,,
Please note that after 9/26/2016 the IAT changed to 188 trials - block 5 was cut from 40 trials back to 28 trials due to order effects. ,,,,,,,,,,,,,,,,,,,,
"4). Some of the variables have scale changed over years. In the Notes column, two types of comments about the scales can be found: ""Scale changed one time over years"", or specific description about the change.",,,,,,,,,,,,,,,,,,,,
"      Accordingly, the Notes column also describes variables as ""renamed"", or specific description.",,,,,,,,,,,,,,,,,,,,
5). Variables names that have brown background were randomly assigned to subjects. ,,,,,,,,,,,,,,,,,,,,
6). Contact Nicole Lofaro at lofaron7@gmail.com if you have any question or comment on this codebook.,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Source,Variable Names,Label,Starting Date,Ending Date,Starting ID,Ending ID,Values,Notes,SPSS Type,SPSS Width,SPSS Decimal,SPSS Format,,,,,,,,
iat,session_id,Session ID,12/23/02,12/31/17,2,2631935800,,,Numeric,10,0,F10.0,,,,,,,,
iat,D_biep.White_Good_all,Overall IAT D score,12/23/02,12/31/17,2,2631935800,,,Numeric,6,3,F6.3,,,,,,,,
iat,D_biep.White_Good_36,IAT D score of block 3 and 6,12/23/02,12/31/17,2,2631935800,,,Numeric,6,3,F6.3,,,,,,,,
iat,D_biep.White_Good_47,IAT D score of block 4 and 7,12/23/02,12/31/17,2,2631935800,,,Numeric,6,3,F6.3,,,,,,,,
iat,Order,order of combined tasks,12/23/02,12/31/17,2,2631935800,1 'White+Good first' 2 'Black+Good first',,Numeric,8,0,F8.0,,,,,,,,
iat,Labels,Category labels participants saw in IAT,9/27/16,12/31/17,2624220463,2631935800,"1 ""African Americans/European Americans"" 2 ""Black people/White people""",,Numeric,8,0,F8.0,,,,,,,,
iat,Side_Good_34,Side where Good word was first presented in IAT,12/23/02,12/31/17,2,2631935800,1 'Good left first' 2 'Good right first',,Numeric,8,0,F8.0,,,,,,,,
iat,Side_White_34,Side where White stimuli was first presented in IAT,12/23/02,12/31/17,2,2631935800,1 'White left first' 2 'White right first',,Numeric,8,0,F8.0,,,,,,,,
iat,Mn_RT_all_3467,Average latency of combined-task blocks,12/23/02,12/31/17,2,2631935800,,,Numeric,8,2,F8.2,,,,,,,,
iat,N_3467,total number of trials in combined-task blocks,12/23/02,12/31/17,2,2631935800,,,Numeric,7,0,F7.0,,,,,,,,
iat,PCT_error_3467,% of error in combined-task blocks,12/23/02,12/31/17,2,2631935800,,,Numeric,6,1,F6.1,,,,,,,,
iat,Mn_RT_all_3,Mean latency of all trials in block 3,12/23/02,12/31/17,2,2631935800,,,Numeric,8,2,F8.2,,,,,,,,
iat,Mn_RT_all_4,Mean latency of all trials in block 4,12/23/02,12/31/17,2,2631935800,,,Numeric,8,2,F8.2,,,,,,,,
iat,Mn_RT_all_6,Mean latency of all trials in block 6,12/23/02,12/31/17,2,2631935800,,,Numeric,8,2,F8.2,,,,,,,,
iat,Mn_RT_all_7,Mean latency of all trials in block 7,12/23/02,12/31/17,2,2631935800,,,Numeric,8,2,F8.2,,,,,,,,
iat,SD_all_3,Standard Deviation of latency of all trials in block 3,12/23/02,12/31/17,2,2631935800,,,Numeric,8,2,F8.2,,,,,,,,
iat,SD_all_4,Standard Deviation of latency of all trials in block 4,12/23/02,12/31/17,2,2631935800,,,Numeric,8,2,F8.2,,,,,,,,
iat,SD_all_6,Standard Deviation of latency of all trials in block 6,12/23/02,12/31/17,2,2631935800,,,Numeric,8,2,F8.2,,,,,,,,
iat,SD_all_7,Standard Deviation of latency of all trials in block 7,12/23/02,12/31/17,2,2631935800,,,Numeric,8,2,F8.2,,,,,,,,
iat,pct_300,% of latencies below 300 ms,12/23/02,12/31/17,2,2631935800,,,Numeric,6,1,F6.1,,,,,,,,
iat,pct_400,% of latencies below 400 ms,12/23/02,12/31/17,2,2631935800,,,Numeric,6,1,F6.1,,,,,,,,
iat,pct_2K,% of latencies below 2000 ms,12/23/02,12/31/17,2,2631935800,,,Numeric,6,1,F6.1,,,,,,,,
iat,pct_3K,% of latencies below 3000 ms,12/23/02,12/31/17,2,2631935800,,,Numeric,6,1,F6.1,,,,,,,,
iat,pct_4K,% of latencies below 4000 ms,12/23/02,12/31/17,2,2631935800,,,Numeric,6,1,F6.1,,,,,,,,
iat,N_3,Number of trials in block 3,12/23/02,12/31/17,2,2631935800,,,Numeric,8,0,F8.0,,,,,,,,
iat,N_4,Number of trials in block 4,12/23/02,12/31/17,2,2631935800,,,Numeric,8,0,F8.0,,,,,,,,
iat,N_5,Number of trials in block 5,12/23/02,12/31/17,2,2631935800,,,Numeric,8,0,F8.0,,,,,,,,
iat,N_6,Number of trials in block 6,12/23/02,12/31/17,2,2631935800,,,Numeric,8,0,F8.0,,,,,,,,
iat,N_7,Number of trials in block 7,12/23/02,12/31/17,2,2631935800,,,Numeric,8,0,F8.0,,,,,,,,
iat,Mn_RT_correct_3,Mean latency of correct trials in block 3,12/23/02,12/31/17,2,2631935800,,,Numeric,8,2,F8.2,,,,,,,,
iat,Mn_RT_correct_4,Mean latency of correct trials in block 4,12/23/02,12/31/17,2,2631935800,,,Numeric,8,2,F8.2,,,,,,,,
iat,Mn_RT_correct_6,Mean latency of correct trials in block 6,12/23/02,12/31/17,2,2631935800,,,Numeric,8,2,F8.2,,,,,,,,
iat,Mn_RT_correct_7,Mean latency of correct trials in block 7,12/23/02,12/31/17,2,2631935800,,,Numeric,8,2,F8.2,,,,,,,,
iat,SD_correct_3,Standard Deviation of latency of correct trials in block 3,12/23/02,12/31/17,2,2631935800,,,Numeric,8,2,F8.2,,,,,,,,
